temperature-(celsius),year,month,country,ISO3
-29.268,1901,Jan,Russian Federation,RUS
-22.378,1901,Feb,Russian Federation,RUS
-15.53,1901,Mar,Russian Federation,RUS
-6.1767,1901,Apr,Russian Federation,RUS
2.52603,1901,May,Russian Federation,RUS
11.0834,1901,Jun,Russian Federation,RUS
14.1427,1901,Jul,Russian Federation,RUS
12.008,1901,Aug,Russian Federation,RUS
4.67951,1901,Sep,Russian Federation,RUS
-6.4812,1901,Oct,Russian Federation,RUS
-17.308,1901,Nov,Russian Federation,RUS
-26.783,1901,Dec,Russian Federation,RUS
-28.835,1902,Jan,Russian Federation,RUS
-24.389,1902,Feb,Russian Federation,RUS
-19.914,1902,Mar,Russian Federation,RUS
-9.7709,1902,Apr,Russian Federation,RUS
0.39964,1902,May,Russian Federation,RUS
9.78632,1902,Jun,Russian Federation,RUS
14.7079,1902,Jul,Russian Federation,RUS
11.4739,1902,Aug,Russian Federation,RUS
5.01936,1902,Sep,Russian Federation,RUS
-8.2628,1902,Oct,Russian Federation,RUS
-22.062,1902,Nov,Russian Federation,RUS
-27.556,1902,Dec,Russian Federation,RUS
-27.244,1903,Jan,Russian Federation,RUS
-20.479,1903,Feb,Russian Federation,RUS
-16.437,1903,Mar,Russian Federation,RUS
-7.6843,1903,Apr,Russian Federation,RUS
2.05665,1903,May,Russian Federation,RUS
9.90889,1903,Jun,Russian Federation,RUS
14.9618,1903,Jul,Russian Federation,RUS
11.4819,1903,Aug,Russian Federation,RUS
5.23789,1903,Sep,Russian Federation,RUS
-6.3489,1903,Oct,Russian Federation,RUS
-16.36,1903,Nov,Russian Federation,RUS
-27.245,1903,Dec,Russian Federation,RUS
-26.724,1904,Jan,Russian Federation,RUS
-25.614,1904,Feb,Russian Federation,RUS
-16.204,1904,Mar,Russian Federation,RUS
-7.258,1904,Apr,Russian Federation,RUS
2.11244,1904,May,Russian Federation,RUS
10.0392,1904,Jun,Russian Federation,RUS
13.6832,1904,Jul,Russian Federation,RUS
12.1117,1904,Aug,Russian Federation,RUS
4.42063,1904,Sep,Russian Federation,RUS
-5.1575,1904,Oct,Russian Federation,RUS
-15.065,1904,Nov,Russian Federation,RUS
-24.562,1904,Dec,Russian Federation,RUS
-25.252,1905,Jan,Russian Federation,RUS
-24.238,1905,Feb,Russian Federation,RUS
-17.887,1905,Mar,Russian Federation,RUS
-8.4847,1905,Apr,Russian Federation,RUS
1.83159,1905,May,Russian Federation,RUS
9.34612,1905,Jun,Russian Federation,RUS
14.0897,1905,Jul,Russian Federation,RUS
11.3806,1905,Aug,Russian Federation,RUS
5.56286,1905,Sep,Russian Federation,RUS
-5.3104,1905,Oct,Russian Federation,RUS
-18.109,1905,Nov,Russian Federation,RUS
-24.889,1905,Dec,Russian Federation,RUS
-30.016,1906,Jan,Russian Federation,RUS
-26.714,1906,Feb,Russian Federation,RUS
-15.774,1906,Mar,Russian Federation,RUS
-4.8676,1906,Apr,Russian Federation,RUS
2.76263,1906,May,Russian Federation,RUS
12.0004,1906,Jun,Russian Federation,RUS
14.2216,1906,Jul,Russian Federation,RUS
12.9711,1906,Aug,Russian Federation,RUS
5.5973,1906,Sep,Russian Federation,RUS
-4.2648,1906,Oct,Russian Federation,RUS
-19.609,1906,Nov,Russian Federation,RUS
-21.341,1906,Dec,Russian Federation,RUS
-30.033,1907,Jan,Russian Federation,RUS
-24.826,1907,Feb,Russian Federation,RUS
-16.672,1907,Mar,Russian Federation,RUS
-5.7976,1907,Apr,Russian Federation,RUS
1.92526,1907,May,Russian Federation,RUS
10.0887,1907,Jun,Russian Federation,RUS
14.4924,1907,Jul,Russian Federation,RUS
12.3501,1907,Aug,Russian Federation,RUS
5.99311,1907,Sep,Russian Federation,RUS
-4.4616,1907,Oct,Russian Federation,RUS
-19.599,1907,Nov,Russian Federation,RUS
-29.503,1907,Dec,Russian Federation,RUS
-30.689,1908,Jan,Russian Federation,RUS
-23.815,1908,Feb,Russian Federation,RUS
-20.123,1908,Mar,Russian Federation,RUS
-7.92,1908,Apr,Russian Federation,RUS
2.77528,1908,May,Russian Federation,RUS
11.4985,1908,Jun,Russian Federation,RUS
14.9848,1908,Jul,Russian Federation,RUS
11.9511,1908,Aug,Russian Federation,RUS
6.29237,1908,Sep,Russian Federation,RUS
-4.5382,1908,Oct,Russian Federation,RUS
-19.466,1908,Nov,Russian Federation,RUS
-27.389,1908,Dec,Russian Federation,RUS
-29.554,1909,Jan,Russian Federation,RUS
-24.728,1909,Feb,Russian Federation,RUS
-20.794,1909,Mar,Russian Federation,RUS
-7.9154,1909,Apr,Russian Federation,RUS
1.31174,1909,May,Russian Federation,RUS
10.3338,1909,Jun,Russian Federation,RUS
15.3057,1909,Jul,Russian Federation,RUS
12.7159,1909,Aug,Russian Federation,RUS
5.64571,1909,Sep,Russian Federation,RUS
-3.9992,1909,Oct,Russian Federation,RUS
-17.335,1909,Nov,Russian Federation,RUS
-24.637,1909,Dec,Russian Federation,RUS
-27.81,1910,Jan,Russian Federation,RUS
-22.398,1910,Feb,Russian Federation,RUS
-19.638,1910,Mar,Russian Federation,RUS
-7.4969,1910,Apr,Russian Federation,RUS
2.53168,1910,May,Russian Federation,RUS
10.3136,1910,Jun,Russian Federation,RUS
15.3588,1910,Jul,Russian Federation,RUS
12.6926,1910,Aug,Russian Federation,RUS
5.8518,1910,Sep,Russian Federation,RUS
-5.4503,1910,Oct,Russian Federation,RUS
-20.207,1910,Nov,Russian Federation,RUS
-27.152,1910,Dec,Russian Federation,RUS
-28.575,1911,Jan,Russian Federation,RUS
-25.517,1911,Feb,Russian Federation,RUS
-19.805,1911,Mar,Russian Federation,RUS
-6.8105,1911,Apr,Russian Federation,RUS
1.46765,1911,May,Russian Federation,RUS
10.6921,1911,Jun,Russian Federation,RUS
15.033,1911,Jul,Russian Federation,RUS
12.1087,1911,Aug,Russian Federation,RUS
4.43528,1911,Sep,Russian Federation,RUS
-4.7189,1911,Oct,Russian Federation,RUS
-15.811,1911,Nov,Russian Federation,RUS
-25.584,1911,Dec,Russian Federation,RUS
-26.572,1912,Jan,Russian Federation,RUS
-27.232,1912,Feb,Russian Federation,RUS
-21.008,1912,Mar,Russian Federation,RUS
-7.1303,1912,Apr,Russian Federation,RUS
2.4256,1912,May,Russian Federation,RUS
10.8805,1912,Jun,Russian Federation,RUS
13.3465,1912,Jul,Russian Federation,RUS
10.6519,1912,Aug,Russian Federation,RUS
4.68439,1912,Sep,Russian Federation,RUS
-9.4333,1912,Oct,Russian Federation,RUS
-18.92,1912,Nov,Russian Federation,RUS
-27.438,1912,Dec,Russian Federation,RUS
-28.92,1913,Jan,Russian Federation,RUS
-27.24,1913,Feb,Russian Federation,RUS
-15.596,1913,Mar,Russian Federation,RUS
-8.1387,1913,Apr,Russian Federation,RUS
1.65994,1913,May,Russian Federation,RUS
10.3828,1913,Jun,Russian Federation,RUS
13.9912,1913,Jul,Russian Federation,RUS
12.1301,1913,Aug,Russian Federation,RUS
5.18176,1913,Sep,Russian Federation,RUS
-5.8797,1913,Oct,Russian Federation,RUS
-18.032,1913,Nov,Russian Federation,RUS
-21.956,1913,Dec,Russian Federation,RUS
-26.169,1914,Jan,Russian Federation,RUS
-21.544,1914,Feb,Russian Federation,RUS
-19.566,1914,Mar,Russian Federation,RUS
-8.0622,1914,Apr,Russian Federation,RUS
2.58409,1914,May,Russian Federation,RUS
10.8097,1914,Jun,Russian Federation,RUS
14.2169,1914,Jul,Russian Federation,RUS
12.5367,1914,Aug,Russian Federation,RUS
5.62577,1914,Sep,Russian Federation,RUS
-5.604,1914,Oct,Russian Federation,RUS
-19.82,1914,Nov,Russian Federation,RUS
-23.088,1914,Dec,Russian Federation,RUS
-30.66,1915,Jan,Russian Federation,RUS
-25.973,1915,Feb,Russian Federation,RUS
-18.912,1915,Mar,Russian Federation,RUS
-7.3903,1915,Apr,Russian Federation,RUS
3.71808,1915,May,Russian Federation,RUS
11.2225,1915,Jun,Russian Federation,RUS
15.3439,1915,Jul,Russian Federation,RUS
11.2981,1915,Aug,Russian Federation,RUS
4.73446,1915,Sep,Russian Federation,RUS
-7.8611,1915,Oct,Russian Federation,RUS
-18.638,1915,Nov,Russian Federation,RUS
-28.307,1915,Dec,Russian Federation,RUS
-26.244,1916,Jan,Russian Federation,RUS
-24.324,1916,Feb,Russian Federation,RUS
-19.13,1916,Mar,Russian Federation,RUS
-8.6432,1916,Apr,Russian Federation,RUS
0.77057,1916,May,Russian Federation,RUS
10.0072,1916,Jun,Russian Federation,RUS
14.2887,1916,Jul,Russian Federation,RUS
11.7417,1916,Aug,Russian Federation,RUS
5.01664,1916,Sep,Russian Federation,RUS
-4.157,1916,Oct,Russian Federation,RUS
-17.961,1916,Nov,Russian Federation,RUS
-29.331,1916,Dec,Russian Federation,RUS
-28.089,1917,Jan,Russian Federation,RUS
-26.144,1917,Feb,Russian Federation,RUS
-19.005,1917,Mar,Russian Federation,RUS
-6.478,1917,Apr,Russian Federation,RUS
3.2954,1917,May,Russian Federation,RUS
11.1145,1917,Jun,Russian Federation,RUS
14.7494,1917,Jul,Russian Federation,RUS
11.4602,1917,Aug,Russian Federation,RUS
5.79499,1917,Sep,Russian Federation,RUS
-5.5357,1917,Oct,Russian Federation,RUS
-17.898,1917,Nov,Russian Federation,RUS
-24.032,1917,Dec,Russian Federation,RUS
-26.173,1918,Jan,Russian Federation,RUS
-24.866,1918,Feb,Russian Federation,RUS
-16.973,1918,Mar,Russian Federation,RUS
-7.1048,1918,Apr,Russian Federation,RUS
0.7436,1918,May,Russian Federation,RUS
10.581,1918,Jun,Russian Federation,RUS
14.1221,1918,Jul,Russian Federation,RUS
11.6131,1918,Aug,Russian Federation,RUS
5.75956,1918,Sep,Russian Federation,RUS
-4.7116,1918,Oct,Russian Federation,RUS
-18.042,1918,Nov,Russian Federation,RUS
-28.038,1918,Dec,Russian Federation,RUS
-31.113,1919,Jan,Russian Federation,RUS
-28.111,1919,Feb,Russian Federation,RUS
-19.514,1919,Mar,Russian Federation,RUS
-7.0034,1919,Apr,Russian Federation,RUS
1.35372,1919,May,Russian Federation,RUS
10.1065,1919,Jun,Russian Federation,RUS
14.4744,1919,Jul,Russian Federation,RUS
12.8052,1919,Aug,Russian Federation,RUS
6.69777,1919,Sep,Russian Federation,RUS
-3.0504,1919,Oct,Russian Federation,RUS
-19.456,1919,Nov,Russian Federation,RUS
-25.107,1919,Dec,Russian Federation,RUS
-25.292,1920,Jan,Russian Federation,RUS
-24.713,1920,Feb,Russian Federation,RUS
-14.198,1920,Mar,Russian Federation,RUS
-4.7259,1920,Apr,Russian Federation,RUS
3.87625,1920,May,Russian Federation,RUS
10.9553,1920,Jun,Russian Federation,RUS
14.7148,1920,Jul,Russian Federation,RUS
12.9938,1920,Aug,Russian Federation,RUS
4.87241,1920,Sep,Russian Federation,RUS
-7.445,1920,Oct,Russian Federation,RUS
-19.443,1920,Nov,Russian Federation,RUS
-27.34,1920,Dec,Russian Federation,RUS
-25.019,1921,Jan,Russian Federation,RUS
-23.225,1921,Feb,Russian Federation,RUS
-16.561,1921,Mar,Russian Federation,RUS
-7.0524,1921,Apr,Russian Federation,RUS
2.26186,1921,May,Russian Federation,RUS
12.038,1921,Jun,Russian Federation,RUS
15.0972,1921,Jul,Russian Federation,RUS
12.1888,1921,Aug,Russian Federation,RUS
5.63406,1921,Sep,Russian Federation,RUS
-5.0807,1921,Oct,Russian Federation,RUS
-16.021,1921,Nov,Russian Federation,RUS
-27.033,1921,Dec,Russian Federation,RUS
-29.126,1922,Jan,Russian Federation,RUS
-28.428,1922,Feb,Russian Federation,RUS
-16.344,1922,Mar,Russian Federation,RUS
